0,1,2,3
4.7,1.6,1.6,1.6
7.7,1.6,7.8,1.6
9.1,6.2,7.8,0.0
12.3,7.8,12.5,6.2
7.8,6.2,12.5,12.5
6.2,1.5,6.2,3.1
9.4,7.7,12.5,9.4
4.7,1.6,6.2,9.5
25.0,3.1,9.4,10.8
0.0,4.6,1.6,7.9
9.4,4.7,10.9,3.1
6.2,4.7,12.5,4.7
4.7,3.1,6.2,0.0
17.2,10.9,12.5,14.1
10.8,4.7,7.8,6.3
12.1,1.6,9.4,1.6
7.7,3.1,7.7,1.5
7.8,7.7,7.8,15.9
7.7,3.1,3.1,0.0
10.9,6.2,10.9,15.6
1.6,3.1,3.1,4.7
14.1,6.2,10.8,10.9
1.6,4.7,7.8,10.9
26.6,20.3,17.2,37.5
4.7,3.1,6.2,7.8
7.8,3.1,7.8,3.1
11.9,7.8,9.4,6.2
3.1,3.1,10.9,1.6
9.4,3.1,10.9,0.0
7.6,4.7,6.2,1.6
10.9,6.2,4.6,11.1
12.1,3.1,6.2,3.1
9.4,10.9,14.1,16.9
6.2,12.5,7.8,9.4
12.5,7.8,14.1,7.8
7.7,6.2,4.7,9.4
