0,1
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13559525376, percent=20.6, used=3510427648, free=13559525376)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13187710976, percent=22.7, used=3882242048, free=13187710976)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13308547072, percent=22.0, used=3761405952, free=13308547072)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13398900736, percent=21.5, used=3671052288, free=13398900736)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13426712576, percent=21.3, used=3643240448, free=13426712576)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13406953472, percent=21.5, used=3662999552, free=13406953472)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13396672512, percent=21.5, used=3673280512, free=13396672512)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13421821952, percent=21.4, used=3648131072, free=13421821952)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13384564736, percent=21.6, used=3685388288, free=13384564736)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13372399616, percent=21.7, used=3697553408, free=13372399616)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13427249152, percent=21.3, used=3642703872, free=13427249152)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13308571648, percent=22.0, used=3761381376, free=13308571648)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13315117056, percent=22.0, used=3754835968, free=13315117056)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13363130368, percent=21.7, used=3706822656, free=13363130368)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13318860800, percent=22.0, used=3751092224, free=13318860800)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13324460032, percent=21.9, used=3745492992, free=13324460032)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13334093824, percent=21.9, used=3735859200, free=13334093824)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13327011840, percent=21.9, used=3742941184, free=13327011840)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13311950848, percent=22.0, used=3758002176, free=13311950848)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13360435200, percent=21.7, used=3709517824, free=13360435200)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13333565440, percent=21.9, used=3736387584, free=13333565440)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13306650624, percent=22.0, used=3763302400, free=13306650624)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13346750464, percent=21.8, used=3723202560, free=13346750464)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13253971968, percent=22.4, used=3815981056, free=13253971968)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13266001920, percent=22.3, used=3803951104, free=13266001920)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13298143232, percent=22.1, used=3771809792, free=13298143232)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13270061056, percent=22.3, used=3799891968, free=13270061056)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13253824512, percent=22.4, used=3816128512, free=13253824512)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13286350848, percent=22.2, used=3783602176, free=13286350848)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13257863168, percent=22.3, used=3812089856, free=13257863168)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13255708672, percent=22.3, used=3814244352, free=13255708672)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13273559040, percent=22.2, used=3796393984, free=13273559040)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13251674112, percent=22.4, used=3818278912, free=13251674112)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13221928960, percent=22.5, used=3848024064, free=13221928960)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13275852800, percent=22.2, used=3794100224, free=13275852800)"
"sswap(total=2550136832, used=0, free=2550136832, percent=0.0, sin=0, sout=0)","svmem(total=17069953024, available=13274112000, percent=22.2, used=3795841024, free=13274112000)"
